# file...... distribution_load.csv
# date...... Wed Jul 26 23:24:26 2017
# user...... hieutn
# host...... (null)
# target.... substation 52
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,distribution_load,positive_sequence_voltage
2004-07-01 18:25:00 CDT,+466927-525661j,+2401+0i
2004-07-01 18:30:00 CDT,+434812-535034j,+2401+0i
2004-07-01 18:35:00 CDT,+395725-545943j,+2401+0i
2004-07-01 18:40:00 CDT,+368623-553420j,+2401+0i
2004-07-01 18:45:00 CDT,+408805-542221j,+2401+0i
2004-07-01 18:50:00 CDT,+437368-534276j,+2401+0i
2004-07-01 18:55:00 CDT,+419531-539262j,+2401+0i
2004-07-01 19:00:00 CDT,+365463-280821j,+2401+0i
2004-07-01 19:05:00 CDT,+371344-279231j,+2401+0i
2004-07-01 19:10:00 CDT,+389744-274130j,+2401+0i
2004-07-01 19:15:00 CDT,+340238-287801j,+2401+0i
2004-07-01 19:20:00 CDT,+334573-289296j,+2401+0i
2004-07-01 19:25:00 CDT,+363023-281691j,+2401+0i
2004-07-01 19:30:00 CDT,+389088-274518j,+2401+0i
2004-07-01 19:35:00 CDT,+328912-291101j,+2401+0i
2004-07-01 19:40:00 CDT,+305279-297347j,+2401+0i
2004-07-01 19:45:00 CDT,+349045-285396j,+2401+0i
2004-07-01 19:50:00 CDT,+320226-293194j,+2401+0i
2004-07-01 19:55:00 CDT,+301522-298486j,+2401+0i
2004-07-01 20:00:00 CDT,+307021-154010j,+2401+0i
2004-07-01 20:05:00 CDT,+284123-160079j,+2401+0i
2004-07-01 20:10:00 CDT,+306159-154069j,+2401+0i
2004-07-01 20:15:00 CDT,+279684-161179j,+2401+0i
2004-07-01 20:20:00 CDT,+269442-163957j,+2401+0i
2004-07-01 20:25:00 CDT,+252710-168486j,+2401+0i
2004-07-01 20:30:00 CDT,+286707-159317j,+2401+0i
2004-07-01 20:35:00 CDT,+263128-165487j,+2401+0i
2004-07-01 20:40:00 CDT,+242929-171151j,+2401+0i
2004-07-01 20:45:00 CDT,+225139-175817j,+2401+0i
2004-07-01 20:50:00 CDT,+257603-168243j,+2401+0i
2004-07-01 20:55:00 CDT,+239945-171823j,+2401+0i
2004-07-01 21:00:00 CDT,+241427-107061j,+2401+0i
2004-07-01 21:05:00 CDT,+185138-122140j,+2401+0i
2004-07-01 21:10:00 CDT,+244529-106387j,+2401+0i
2004-07-01 21:15:00 CDT,+191037-120535j,+2401+0i
2004-07-01 21:20:00 CDT,+236062-108650j,+2401+0i
2004-07-01 21:25:00 CDT,+203734-117246j,+2401+0i
2004-07-01 21:30:00 CDT,+217845-113463j,+2401+0i
2004-07-01 21:35:00 CDT,+188513-121296j,+2401+0i
2004-07-01 21:40:00 CDT,+195172-120939j,+2401+0i
2004-07-01 21:45:00 CDT,+191370-120468j,+2401+0i
2004-07-01 21:50:00 CDT,+190591-120704j,+2401+0i
2004-07-01 21:55:00 CDT,+178584-123809j,+2401+0i
2004-07-01 22:00:00 CDT,+146463-66830.2j,+2401+0i
2004-07-01 22:05:00 CDT,+159817-63373.4j,+2401+0i
2004-07-01 22:10:00 CDT,+171186-60378.8j,+2401+0i
2004-07-01 22:15:00 CDT,+145121-67157.7j,+2401+0i
2004-07-01 22:20:00 CDT,+149396-66064.9j,+2401+0i
2004-07-01 22:25:00 CDT,+155580-64450.8j,+2401+0i
2004-07-01 22:30:00 CDT,+137287-69171.5j,+2401+0i
2004-07-01 22:35:00 CDT,+157805-63894.6j,+2401+0i
2004-07-01 22:40:00 CDT,+153424-65024.1j,+2401+0i
2004-07-01 22:45:00 CDT,+150274-65765j,+2401+0i
2004-07-01 22:50:00 CDT,+125673-72185.7j,+2401+0i
2004-07-01 22:55:00 CDT,+119126-73915.9j,+2401+0i
