#time	topic  value
62640000000000   clear_price   0.2
62700000000000   clear_price   0.2
62760000000000   clear_price   0.2
62820000000000   clear_price   0.2
62880000000000   clear_price   0.2
62940000000000   clear_price   0.2
63000000000000   clear_price   0.2
63060000000000   clear_price   0.2
63120000000000   clear_price   0.2
63180000000000   clear_price   0.2
63240000000000   clear_price   0.2
63300000000000   clear_price   0.2
63360000000000   clear_price   0.2
63420000000000   clear_price   0.2
63480000000000   clear_price   0.2
63540000000000   clear_price   0.2
63600000000000   clear_price   0.2
63660000000000   clear_price   0.2
63720000000000   clear_price   0.2
63780000000000   clear_price   0.2
63840000000000   clear_price   0.2
63900000000000   clear_price   0.2
63960000000000   clear_price   0.2
64020000000000   clear_price   0.2
64080000000000   clear_price   0.2
64140000000000   clear_price   0.2
64200000000000   clear_price   0.2
64260000000000   clear_price   0.2
64320000000000   clear_price   0.2
64380000000000   clear_price   0.2
64440000000000   clear_price   0.2
64500000000000   clear_price   0.2
64560000000000   clear_price   0.2
64620000000000   clear_price   0.2
64680000000000   clear_price   0.2
64740000000000   clear_price   0.2
64800000000000   clear_price   0.2
64860000000000   clear_price   0.2
64920000000000   clear_price   0.2
64980000000000   clear_price   0.2
65040000000000   clear_price   0.2
65100000000000   clear_price   0.2
65160000000000   clear_price   0.2
65220000000000   clear_price   0.2
65280000000000   clear_price   0.2
65340000000000   clear_price   0.2
65400000000000   clear_price   0.2
65460000000000   clear_price   0.2
65520000000000   clear_price   0.2
65580000000000   clear_price   0.2
65640000000000   clear_price   0.2
65700000000000   clear_price   0.2
65760000000000   clear_price   0.2
65820000000000   clear_price   0.2
65880000000000   clear_price   0.2
65940000000000   clear_price   0.2
66000000000000   clear_price   0.2
66060000000000   clear_price   0.2
66120000000000   clear_price   0.2
66180000000000   clear_price   0.2
66240000000000   clear_price   0.2
66300000000000   clear_price   0.2
66360000000000   clear_price   0.2
66420000000000   clear_price   0.2
66480000000000   clear_price   0.2
66540000000000   clear_price   0.2
66600000000000   clear_price   0.2
66660000000000   clear_price   0.2
66720000000000   clear_price   0.2
66780000000000   clear_price   0.2
66840000000000   clear_price   0.2
66900000000000   clear_price   0.2
66960000000000   clear_price   0.2
67020000000000   clear_price   0.2
67080000000000   clear_price   0.2
67140000000000   clear_price   0.2
67200000000000   clear_price   0.2
67260000000000   clear_price   0.2
67320000000000   clear_price   0.2
67380000000000   clear_price   0.2
67440000000000   clear_price   0.2
67500000000000   clear_price   0.2
67560000000000   clear_price   0.2
67620000000000   clear_price   0.2
