#nanoseconds	topic	value
300000000000	eplus_control/controller_house_2_8_thermostat_controller_cooling_setpoint	71.50829729679022
300000000000	eplus_control/controller_house_2_9_thermostat_controller_cooling_setpoint	72.25309276102519
300000000000	eplus_control/controller_house_2_10_thermostat_controller_cooling_setpoint	72.64559709305018
300000000000	eplus_control/controller_house_2_11_thermostat_controller_cooling_setpoint	72.33133397881593
300000000000	eplus_control/controller_house_2_12_thermostat_controller_cooling_setpoint	72.17022446872018
300000000000	eplus_control/controller_house_3_1_thermostat_controller_cooling_setpoint	71.28711502414917
300000000000	eplus_control/controller_house_3_2_thermostat_controller_cooling_setpoint	72.12186795788799
300000000000	eplus_control/controller_house_3_3_thermostat_controller_cooling_setpoint	71.02313533258753
300000000000	eplus_control/controller_house_3_4_thermostat_controller_cooling_setpoint	72.61229749695573
300000000000	eplus_control/controller_house_3_5_thermostat_controller_cooling_setpoint	72.33242096112632
300000000000	eplus_control/controller_house_3_6_thermostat_controller_cooling_setpoint	72.11078899129186
300000000000	eplus_control/controller_house_3_7_thermostat_controller_cooling_setpoint	71.28426331980842
300000000000	eplus_control/controller_house_3_8_thermostat_controller_cooling_setpoint	71.34334471660644
300000000000	eplus_control/controller_house_3_9_thermostat_controller_cooling_setpoint	71.24358678345826
300000000000	eplus_control/controller_house_3_10_thermostat_controller_cooling_setpoint	72.01504457463645
300000000000	eplus_control/controller_house_3_11_thermostat_controller_cooling_setpoint	72.23954119936035
300000000000	eplus_control/controller_house_3_12_thermostat_controller_cooling_setpoint	71.19164830402212
300000000000	eplus_control/controller_house_4_1_thermostat_controller_cooling_setpoint	72.2698478568597
300000000000	eplus_control/controller_house_4_2_thermostat_controller_cooling_setpoint	72.7225003218372
300000000000	eplus_control/controller_house_4_3_thermostat_controller_cooling_setpoint	71.60814356013859
300000000000	eplus_control/controller_house_4_4_thermostat_controller_cooling_setpoint	72.55248967734366
300000000000	eplus_control/controller_house_4_5_thermostat_controller_cooling_setpoint	71.11071533501637
300000000000	eplus_control/controller_house_4_6_thermostat_controller_cooling_setpoint	72.4930422020428
300000000000	eplus_control/controller_house_4_7_thermostat_controller_cooling_setpoint	71.75357324147929
300000000000	eplus_control/controller_house_4_8_thermostat_controller_cooling_setpoint	71.08637882924917
300000000000	eplus_control/controller_house_4_9_thermostat_controller_cooling_setpoint	72.43335316512267
300000000000	eplus_control/controller_house_4_10_thermostat_controller_cooling_setpoint	71.4045202475724
300000000000	eplus_control/controller_house_4_11_thermostat_controller_cooling_setpoint	72.22476363522412
300000000000	eplus_control/controller_house_4_12_thermostat_controller_cooling_setpoint	71.36470022200274
300000000000	eplus_control/controller_house_5_1_thermostat_controller_cooling_setpoint	72.15112965509428
300000000000	eplus_control/controller_house_5_2_thermostat_controller_cooling_setpoint	71.68522974319278
300000000000	eplus_control/controller_house_5_3_thermostat_controller_cooling_setpoint	71.19696565152982
300000000000	eplus_control/controller_house_5_4_thermostat_controller_cooling_setpoint	72.37303567711012
300000000000	eplus_control/controller_house_5_5_thermostat_controller_cooling_setpoint	72.73380961304733
300000000000	eplus_control/controller_house_5_6_thermostat_controller_cooling_setpoint	72.52281068215592
300000000000	eplus_control/controller_house_5_7_thermostat_controller_cooling_setpoint	71.37600796426396
300000000000	eplus_control/controller_house_5_8_thermostat_controller_cooling_setpoint	71.52052198487837
300000000000	eplus_control/controller_house_5_9_thermostat_controller_cooling_setpoint	72.59156271069622
300000000000	eplus_control/controller_house_5_10_thermostat_controller_cooling_setpoint	71.60708676406729
300000000000	eplus_control/controller_house_5_11_thermostat_controller_cooling_setpoint	71.64825507026713
300000000000	eplus_control/controller_house_5_12_thermostat_controller_cooling_setpoint	72.07977076774998
300000000000	eplus_control/controller_house_6_1_thermostat_controller_cooling_setpoint	71.08131817264648
300000000000	eplus_control/controller_house_6_2_thermostat_controller_cooling_setpoint	71.68545122206567
300000000000	eplus_control/controller_house_6_3_thermostat_controller_cooling_setpoint	71.92800030550407
300000000000	eplus_control/controller_house_6_4_thermostat_controller_cooling_setpoint	72.22694073243342
300000000000	eplus_control/controller_house_6_5_thermostat_controller_cooling_setpoint	72.37996099180715
300000000000	eplus_control/controller_house_6_6_thermostat_controller_cooling_setpoint	72.40660873757764
300000000000	eplus_control/controller_house_6_7_thermostat_controller_cooling_setpoint	72.84968116485928
300000000000	eplus_control/controller_house_6_8_thermostat_controller_cooling_setpoint	71.05895899489548
300000000000	eplus_control/controller_house_6_9_thermostat_controller_cooling_setpoint	71.53928157450511
300000000000	eplus_control/controller_house_6_10_thermostat_controller_cooling_setpoint	72.68000800049681
300000000000	eplus_control/controller_house_6_11_thermostat_controller_cooling_setpoint	72.38651857992991
300000000000	eplus_control/controller_house_6_12_thermostat_controller_cooling_setpoint	71.67179218443741
300000000000	eplus_control/controller_house_7_1_thermostat_controller_cooling_setpoint	72.28047369108322
300000000000	eplus_control/controller_house_7_2_thermostat_controller_cooling_setpoint	71.14628634009703
300000000000	eplus_control/controller_house_7_3_thermostat_controller_cooling_setpoint	72.50554092583981
300000000000	eplus_control/controller_house_7_4_thermostat_controller_cooling_setpoint	72.06061872164236
300000000000	eplus_control/controller_house_7_5_thermostat_controller_cooling_setpoint	72.38372960949258
300000000000	eplus_control/controller_house_7_6_thermostat_controller_cooling_setpoint	71.86785053983297
300000000000	eplus_control/controller_house_7_7_thermostat_controller_cooling_setpoint	72.14385710557819
300000000000	eplus_control/controller_house_7_8_thermostat_controller_cooling_setpoint	72.35339166841922
300000000000	eplus_control/controller_house_7_9_thermostat_controller_cooling_setpoint	72.11678615217181
300000000000	eplus_control/controller_house_7_10_thermostat_controller_cooling_setpoint	72.63909269000018
300000000000	eplus_control/controller_house_7_11_thermostat_controller_cooling_setpoint	71.88226489277778
300000000000	eplus_control/controller_house_7_12_thermostat_controller_cooling_setpoint	72.19781289543779
300000000000	eplus_control/controller_house_8_1_thermostat_controller_cooling_setpoint	71.13433491365548
300000000000	eplus_control/controller_house_8_2_thermostat_controller_cooling_setpoint	71.35510858818506
300000000000	eplus_control/controller_house_8_3_thermostat_controller_cooling_setpoint	72.0698490655771
300000000000	eplus_control/controller_house_8_4_thermostat_controller_cooling_setpoint	72.41261253245574
300000000000	eplus_control/controller_house_8_5_thermostat_controller_cooling_setpoint	72.12552866744143
300000000000	eplus_control/controller_house_8_6_thermostat_controller_cooling_setpoint	72.67685362127989
300000000000	eplus_control/controller_house_8_7_thermostat_controller_cooling_setpoint	71.64956920108453
300000000000	eplus_control/controller_house_8_8_thermostat_controller_cooling_setpoint	72.80436384385378
300000000000	eplus_control/controller_house_8_9_thermostat_controller_cooling_setpoint	72.10692387002236
300000000000	eplus_control/controller_house_8_10_thermostat_controller_cooling_setpoint	71.09884017555903
300000000000	eplus_control/controller_house_8_11_thermostat_controller_cooling_setpoint	71.2965931897155
300000000000	eplus_control/controller_house_8_12_thermostat_controller_cooling_setpoint	72.10306682805249
300000000000	eplus_control/controller_house_9_1_thermostat_controller_cooling_setpoint	72.14205786832012
300000000000	eplus_control/controller_house_9_2_thermostat_controller_cooling_setpoint	72.02528552115979
300000000000	eplus_control/controller_house_9_3_thermostat_controller_cooling_setpoint	72.48613142191721
300000000000	eplus_control/controller_house_9_4_thermostat_controller_cooling_setpoint	72.91695671733127
300000000000	eplus_control/controller_house_9_5_thermostat_controller_cooling_setpoint	71.9982948659206
300000000000	eplus_control/controller_house_9_6_thermostat_controller_cooling_setpoint	72.10960797864581
300000000000	eplus_control/controller_house_9_7_thermostat_controller_cooling_setpoint	72.64512787113377
300000000000	eplus_control/controller_house_9_8_thermostat_controller_cooling_setpoint	72.12734625481394
300000000000	eplus_control/controller_house_9_9_thermostat_controller_cooling_setpoint	71.81651128473726
300000000000	eplus_control/controller_house_9_10_thermostat_controller_cooling_setpoint	72.31884270139456
300000000000	eplus_control/controller_house_9_11_thermostat_controller_cooling_setpoint	72.51956216153319
300000000000	eplus_control/controller_house_9_12_thermostat_controller_cooling_setpoint	71.08777070448627
300000000000	eplus_control/controller_house_10_1_thermostat_controller_cooling_setpoint	72.04954423924414
300000000000	eplus_control/controller_house_10_2_thermostat_controller_cooling_setpoint	72.09169998065128
300000000000	eplus_control/controller_house_10_3_thermostat_controller_cooling_setpoint	72.68380625959303
300000000000	eplus_control/controller_house_10_4_thermostat_controller_cooling_setpoint	72.45217125700076
300000000000	eplus_control/controller_house_10_5_thermostat_controller_cooling_setpoint	72.70388962712339
300000000000	eplus_control/controller_house_10_6_thermostat_controller_cooling_setpoint	71.3155188726044
300000000000	eplus_control/controller_house_10_7_thermostat_controller_cooling_setpoint	71.4801944787041
300000000000	eplus_control/controller_house_10_8_thermostat_controller_cooling_setpoint	71.57661748501872
300000000000	eplus_control/controller_house_10_9_thermostat_controller_cooling_setpoint	72.87846247689897
300000000000	eplus_control/controller_house_10_10_thermostat_controller_cooling_setpoint	72.78404910510916
300000000000	eplus_control/controller_house_10_11_thermostat_controller_cooling_setpoint	72.34084760970839
300000000000	eplus_control/controller_house_10_12_thermostat_controller_cooling_setpoint	72.82025905780553
300000000000	eplus_control/controller_house_11_1_thermostat_controller_cooling_setpoint	71.7981554534182
300000000000	eplus_control/controller_house_11_2_thermostat_controller_cooling_setpoint	72.60152296346834
300000000000	eplus_control/controller_house_11_3_thermostat_controller_cooling_setpoint	72.23655709032253
300000000000	eplus_control/controller_house_11_4_thermostat_controller_cooling_setpoint	71.352465463169
300000000000	eplus_control/controller_house_11_5_thermostat_controller_cooling_setpoint	72.90994263766198
300000000000	eplus_control/controller_house_11_6_thermostat_controller_cooling_setpoint	72.52425581875734
300000000000	eplus_control/controller_house_11_7_thermostat_controller_cooling_setpoint	72.01326702147621
300000000000	eplus_control/controller_house_11_8_thermostat_controller_cooling_setpoint	72.4413161809792
300000000000	eplus_control/controller_house_11_9_thermostat_controller_cooling_setpoint	71.9350277129959
300000000000	eplus_control/controller_house_11_10_thermostat_controller_cooling_setpoint	71.69116369044785
300000000000	eplus_control/controller_house_11_11_thermostat_controller_cooling_setpoint	71.37679582458074
300000000000	eplus_control/controller_house_11_12_thermostat_controller_cooling_setpoint	72.56383478930172
300000000000	eplus_control/controller_house_12_1_thermostat_controller_cooling_setpoint	72.46615441711299
300000000000	eplus_control/controller_house_12_2_thermostat_controller_cooling_setpoint	72.37345725806635
300000000000	eplus_control/controller_house_12_3_thermostat_controller_cooling_setpoint	72.30378946263339
300000000000	eplus_control/controller_house_12_4_thermostat_controller_cooling_setpoint	71.9407383861205
300000000000	eplus_control/controller_house_12_5_thermostat_controller_cooling_setpoint	71.6377206031879
300000000000	eplus_control/controller_house_12_6_thermostat_controller_cooling_setpoint	72.00791136608544
300000000000	eplus_control/controller_house_12_7_thermostat_controller_cooling_setpoint	71.01806763357915
