# file...... distribution_load.csv
# date...... Wed Jul 26 22:24:25 2017
# user...... hieutn
# host...... (null)
# target.... substation 52
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,distribution_load,positive_sequence_voltage
2004-07-02 05:10:00 CDT,+49175-40066.8j,+2401+0i
2004-07-02 05:15:00 CDT,+49175-40066.8j,+2401+0i
2004-07-02 05:20:00 CDT,+49175-40066.8j,+2401+0i
2004-07-02 05:25:00 CDT,+49175-40066.8j,+2401+0i
2004-07-02 05:30:00 CDT,+49175-40066.8j,+2401+0i
2004-07-02 05:35:00 CDT,+49175-40066.8j,+2401+0i
2004-07-02 05:40:00 CDT,+49175-40066.8j,+2401+0i
2004-07-02 05:45:00 CDT,+49175-40066.8j,+2401+0i
2004-07-02 05:50:00 CDT,+49175-40066.8j,+2401+0i
2004-07-02 05:55:00 CDT,+49175-40066.8j,+2401+0i
2004-07-02 06:00:00 CDT,+61550.7-94210.1j,+2401+0i
2004-07-02 06:05:00 CDT,+66472.6-94186.9j,+2401+0i
2004-07-02 06:10:00 CDT,+61595.3-94210.2j,+2401+0i
2004-07-02 06:15:00 CDT,+61602.9-94210.1j,+2401+0i
2004-07-02 06:20:00 CDT,+61602.9-94210.1j,+2401+0i
2004-07-02 06:25:00 CDT,+61551-94210.3j,+2401+0i
2004-07-02 06:30:00 CDT,+67048.5-94182.2j,+2401+0i
2004-07-02 06:35:00 CDT,+61597.7-94210.2j,+2401+0i
2004-07-02 06:40:00 CDT,+66605.2-94179.3j,+2401+0i
2004-07-02 06:45:00 CDT,+71160.4-94158j,+2401+0i
2004-07-02 06:50:00 CDT,+61551-94210.3j,+2401+0i
2004-07-02 06:55:00 CDT,+61551-94210.3j,+2401+0i
2004-07-02 07:00:00 CDT,+76496-156775j,+2401+0i
2004-07-02 07:05:00 CDT,+76497-156775j,+2401+0i
2004-07-02 07:10:00 CDT,+76553.4-156775j,+2401+0i
2004-07-02 07:15:00 CDT,+81679.6-156732j,+2401+0i
2004-07-02 07:20:00 CDT,+76497-156775j,+2401+0i
2004-07-02 07:25:00 CDT,+76497-156775j,+2401+0i
2004-07-02 07:30:00 CDT,+76497-156775j,+2401+0i
2004-07-02 07:35:00 CDT,+76497-156775j,+2401+0i
2004-07-02 07:40:00 CDT,+76497-156775j,+2401+0i
2004-07-02 07:45:00 CDT,+78624.6-156227j,+2401+0i
2004-07-02 07:50:00 CDT,+83692.3-154903j,+2401+0i
2004-07-02 07:55:00 CDT,+94476.9-153468j,+2401+0i
2004-07-02 08:00:00 CDT,+95315.1-170219j,+2401+0i
2004-07-02 08:05:00 CDT,+112531-165747j,+2401+0i
2004-07-02 08:10:00 CDT,+126141-162188j,+2401+0i
2004-07-02 08:15:00 CDT,+139306-158765j,+2401+0i
2004-07-02 08:20:00 CDT,+149708-156053j,+2401+0i
2004-07-02 08:25:00 CDT,+153990-154879j,+2401+0i
2004-07-02 08:30:00 CDT,+215791-138616j,+2401+0i
2004-07-02 08:35:00 CDT,+164622-152071j,+2401+0i
2004-07-02 08:40:00 CDT,+211746-139650j,+2401+0i
2004-07-02 08:45:00 CDT,+168119-151214j,+2401+0i
2004-07-02 08:50:00 CDT,+204442-141659j,+2401+0i
2004-07-02 08:55:00 CDT,+180796-147851j,+2401+0i
2004-07-02 09:00:00 CDT,+257568-120169j,+2401+0i
2004-07-02 09:05:00 CDT,+193313-137050j,+2401+0i
2004-07-02 09:10:00 CDT,+313068-105294j,+2401+0i
2004-07-02 09:15:00 CDT,+236383-125681j,+2401+0i
2004-07-02 09:20:00 CDT,+239006-124976j,+2401+0i
